Pair,p-value
BRK.B-RJF,3.175187747114325e-12
SHW-TYL,1.0849689124133666e-10
EQIX-ITW,8.12516355181399e-10
EQIX-ROP,1.1896794900164478e-09
EQIX-APD,1.6860345943409797e-09
BRK.B-APH,3.2047729692894176e-09
CPRT-MPWR,6.747924139056988e-09
TT-WSM,9.98526579055406e-09
BRK.B-MAR,1.0865436928506436e-08
FICO-WSM,1.6309901940639782e-08
FICO-KLAC,2.5817567334040205e-08
CPRT-LRCX,2.88425830936622e-08
RJF-WRB,3.159751523230581e-08
EQIX-CHD,3.1726728105595815e-08
URI-KLAC,3.6030504496015725e-08
AJG-URI,6.051175474942863e-08
RSG-RJF,6.351368272392001e-08
MA-VRSK,6.607956680640998e-08
ERIE-DECK,1.0877988276206057e-07
TMO-DHR,1.1562096629160091e-07
CDNS-KLAC,1.172918459906062e-07
GWW-HUBB,1.2281195186042616e-07
MPWR-LRCX,1.2704845023986102e-07
ACGL-HUBB,1.9376602042113764e-07
TPL-KLAC,2.3640648610154868e-07
MPWR-SNPS,2.410561826866986e-07
SBUX-EQIX,2.73838281867398e-07
TT-PGR,3.0007442734263423e-07
AJG-DECK,3.1722883070752607e-07
ETN-PGR,3.376093552728317e-07
AON-ADP,3.5063208748143813e-07
MCO-WTW,3.6300685035677253e-07
TPL-PGR,3.733022116283824e-07
BALL-KMX,3.8138612930224734e-07
WTW-SPGI,4.183682168564336e-07
WTW-ADI,4.564976153992852e-07
MSFT-MPWR,5.218735408778945e-07
DECK-PGR,5.46924727894243e-07
ERIE-VRTX,5.694486909363403e-07
NSC-LHX,5.866802278690957e-07
MPWR-AMAT,5.88627028951093e-07
AAPL-MPWR,5.940427711815619e-07
EQIX-ROK,6.111275218902321e-07
DECK-KLAC,6.134094412077149e-07
BRK.B-HLT,7.618383952573718e-07
LLY-FICO,7.741053091395289e-07
AJG-ETN,9.127774363744902e-07
MPWR-BRO,9.325341690485707e-07
ED-GL,9.89471667080332e-07
EQIX-HON,1.0141721370112916e-06
PGR-KLAC,1.017180750378817e-06
PGR-APH,1.1046042951331044e-06
URI-PGR,1.121821914055608e-06
WSM-KKR,1.1625009170350972e-06
VRSK-WTW,1.174495226424226e-06
CPRT-ERIE,1.250645831176922e-06
MAR-VRTX,1.2998192975832729e-06
CHD-UNP,1.3895611609036992e-06
AJG-HUBB,1.4746298049498578e-06
WAT-ACN,1.4779383826982374e-06
DHI-BRO,1.69965702563579e-06
EQIX-DGX,1.7137291139214537e-06
AJG-SNPS,1.7250522635767265e-06
RMD-TDY,1.7856533786124651e-06
WTW-DOV,1.8642634462319003e-06
FICO-DECK,1.9173441573648533e-06
CPRT-DHI,1.9753939352318015e-06
TPL-SNPS,2.102650333216628e-06
BRO-DECK,2.4071564702365952e-06
ALGN-CZR,2.4965176692288816e-06
EQIX-YUM,2.5331963686755995e-06
TGT-TECH,2.5561454851558686e-06
MAR-CBOE,2.639863303028536e-06
PH-ETN,2.9132477964355097e-06
TPL-APH,3.1581696133284657e-06
NVR-ERIE,3.1662566830148936e-06
HD-TYL,3.290120212921426e-06
BRK.B-MLM,3.2985541785730962e-06
EQIX-NDSN,3.369109830875986e-06
TT-KLAC,3.3740452041128763e-06
URI-WSM,3.421901654484197e-06
WST-POOL,3.4610996499287e-06
EQIX-DTE,3.473143283237935e-06
JNJ-EQIX,3.475808646538032e-06
EQIX-AON,3.509552518763973e-06
GOOGL-BRK.B,3.54006917310553e-06
ICE-WTW,3.611489889229767e-06
GOOGL-MPWR,3.822803869996964e-06
WTW-SYK,3.853107706501012e-06
DTE-GL,4.028497777990047e-06
APO-PGR,4.0626787469664306e-06
MO-FOXA,4.162184503944557e-06
MOH-TMO,4.200722930881921e-06
MLM-MPWR,4.374391899235811e-06
MCK-HUBB,4.3773325723939216e-06
AJG-MPWR,4.432282409416238e-06
ERIE-LRCX,4.5588575304974e-06
WTW-MU,4.5593229208877895e-06
DHI-DECK,4.906503600104697e-06
MSFT-LRCX,4.9908658685215015e-06
ITW-EFX,5.0416741796469654e-06
SHW-DOV,5.128704114816803e-06
DHI-LRCX,5.178114001403073e-06
EQIX-FDS,5.396787748818405e-06
AMT-MKC,5.414960097615421e-06
ADSK-RMD,5.843908161920789e-06
PH-PGR,5.862113813458916e-06
MAR-ERIE,6.028040731546592e-06
SHW-WTW,6.1568469788492065e-06
EQIX-AMGN,6.1762067867352425e-06
LLY-DECK,6.270804101896592e-06
CMG-DHI,6.593975558843304e-06
BR-ROL,6.824422127687722e-06
WTW-ADP,6.948580461955213e-06
EQIX-MNST,7.047496084304321e-06
HD-ROL,7.163517036816997e-06
TER-MOH,7.216147144725504e-06
NSC-RMD,7.714329225906578e-06
TGT-CRL,7.718708778188465e-06
TT-URI,7.931805238833667e-06
IR-NVR,8.118239461521544e-06
IFF-HAS,8.88655569935015e-06
EQIX-ECL,8.925594316248789e-06
ACGL-DECK,8.984494678069238e-06
URI-TPL,9.221822104368288e-06
RSG-APH,9.518030501072767e-06
NSC-NEE,9.746548915400355e-06
FICO-ETN,9.77443144824571e-06
EQIX-EFX,1.0099456482642635e-05
DXCM-WST,1.0213527562823095e-05
PG-EQIX,1.0269238463208789e-05
CSX-WAT,1.0378572080950135e-05
MAR-AFL,1.0532726472671855e-05
WAT-NDSN,1.0838424134007641e-05
WSM-ETN,1.1676765762196256e-05
HUBB-ERIE,1.1690050574082076e-05
CCI-KMX,1.1917732486853969e-05
NSC-DPZ,1.197808497271473e-05
AAPL-ODFL,1.2195776613610757e-05
RMD-STE,1.2350349607382905e-05
GOOGL-WRB,1.2527825413768926e-05
BR-SYK,1.2562198231964356e-05
WTW-PTC,1.3005181107016735e-05
SHW-ROL,1.3059114944869959e-05
AJG-DHI,1.3193901810873241e-05
PWR-KLAC,1.3211159086555498e-05
EQIX-UNP,1.3280823463069385e-05
BRK.B-HUBB,1.3517829952072465e-05
ERIE-ETN,1.4256880113411794e-05
EQIX-EG,1.4291142735557288e-05
EFX-CINF,1.4637215218286817e-05
MSCI-TER,1.4881647112267533e-05
APD-RMD,1.4918387643157564e-05
STE-TMO,1.5025932293080524e-05
ROST-CHD,1.5440492716989392e-05
EQIX-EXPD,1.546339914300007e-05
HD-DPZ,1.5483510779519352e-05
EQIX-JKHY,1.550017057186642e-05
CDNS-AJG,1.563410550682398e-05
MPWR-DECK,1.5641735629633056e-05
EQIX-LH,1.5881116060350257e-05
