pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
MSFT-MPWR,2024-07-31,2024-08-01,1,Z-Score Reversion,5364.080032749407,5147.969466764635,119.51715071112704,418.35,417.11,-70.54365625327881,863.09,784.95
CME-ALLE,2024-07-31,2024-08-06,6,Z-Score Reversion,6358.282716970767,6137.884953130078,258.11780496618655,193.71,202.38,-446.8981939169127,136.81,127.59
ALL-CBOE,2024-08-07,2024-08-29,22,Z-Score Reversion,4110.66498737353,3897.6661664696767,302.4729185363666,170.67,188.35,-255.06313656689392,202.24,207.09
HWM-NRG,2024-07-31,2024-08-30,30,Z-Score Reversion,4821.332238431925,4634.182087316047,-522.466039707419,95.7,96.66,540.9450850153494,75.17,85.01
ABBV-ADI,2024-08-02,2024-09-17,46,Z-Score Reversion,2701.301308187154,2501.551397222645,-272.2908737028679,189.29,193.45,220.47333771081628,207.96,225.35
BBY-CZR,2024-09-03,2024-09-19,16,Z-Score Reversion,5997.4920555028075,5824.866915250281,-516.9029138549319,100.94,98.46,893.1009146103356,36.3,41.58
EW-INVH,2024-07-31,2024-09-24,55,Z-Score Reversion,2091.08625631412,1859.485511031467,793.0214115781126,63.05,66.33,-1821.5141916503335,35.27,35.55
OTIS-IT,2024-07-31,2024-09-24,55,Z-Score Reversion,1252.105588661936,1036.4228622836981,529.1005291005291,94.5,98.93,-111.98048771829963,501.19,510.94
MCO-VRSK,2024-07-31,2024-09-30,61,Z-Score Reversion,-935.7166716656211,-1127.0891801838616,-109.53382404486506,456.48,474.59,168.75054457115777,261.75,267.96
DXCM-POOL,2024-07-31,2024-10-04,65,Z-Score Reversion,2577.2421258466275,2304.856438846574,737.2456502506636,67.82,68.11,-233.3110451405664,374.04,363.91
DXCM-WST,2024-07-31,2024-10-04,65,Z-Score Reversion,2484.5309175363727,2242.796883038128,737.2456502506636,67.82,68.11,-234.8220971006895,306.17,296.5
EW-AKAM,2024-07-31,2024-10-08,69,Z-Score Reversion,2557.416534936616,2335.5042712461527,793.0214115781126,63.05,68.54,-588.9413162712247,98.28,101.33
CARR-PANW,2024-09-18,2024-10-10,22,Z-Score Reversion,3696.6567654330356,3500.773364585967,-659.708368753914,78.19,80.43,261.0039602240509,164.875,184.7
ZTS-COO,2024-08-30,2024-10-16,47,Z-Score Reversion,1548.6297859017213,1325.3636426466342,282.11187162945293,183.49,194.44,-544.3445966221852,105.73,108.56
