pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
APO-ETN,2024-07-31,2024-08-02,2,Z-Score Reversion,6018.384759753684,5863.345471724607,-399.0104540738967,125.31,103.53,108.93040888608998,304.79,280.26
ABBV-RJF,2024-08-05,2024-10-17,73,Z-Score Reversion,7883.734138707459,7711.044234087588,-276.2782750656522,184.36,188.57,284.8509344059776,106.39,138.15
EW-INVH,2024-07-31,2024-10-31,92,Z-Score Reversion,16691.851615616404,16354.614582033251,793.0214115781126,63.05,67.01,-3510.7478823230754,35.27,31.41
HCA-OTIS,2024-07-31,2024-11-06,98,Z-Score Reversion,6010.389453250573,5782.287857511244,-137.72207684891887,363.05,348.75,666.8257020315222,94.5,100.56
ABBV-ADI,2024-11-01,2024-11-12,11,Z-Score Reversion,7654.820079412773,7522.225192078336,-251.56534226017723,203.55,171.09,86.17047729385854,225.48,219.55
ABBV-CI,2024-11-07,2024-11-12,5,Z-Score Reversion,9388.80851052882,9232.513564830688,-254.14564986082854,200.51,171.09,93.80978859780414,319.49,339.87
CBRE-LYV,2024-07-31,2024-11-21,113,Z-Score Reversion,9362.246343522544,9155.440367908539,-443.6163605713779,112.71,131.65,419.16800879529154,96.19,138.57
BLK-CRWD,2024-07-31,2024-12-30,152,Time Stop Loss,-4014.8671627419535,-4146.2371231168545,-57.04506560182544,876.5,1027.43,39.1558976441548,231.96,349.31
BR-CRWD,2024-07-31,2024-12-30,152,Time Stop Loss,456.3332338307009,338.0768555060408,-233.6448598130841,214.0,225.5,26.785250291275446,231.96,349.31
DUK-XYL,2024-07-31,2024-12-30,152,Time Stop Loss,-1351.9657110429762,-1481.2166904690537,-457.5821359934108,109.27,107.71,119.96479925625447,133.5,116.28
DXCM-POOL,2024-07-31,2024-12-30,152,Time Stop Loss,16899.63059803537,16599.105879927713,737.2456502506636,67.82,78.0,-270.5780494954956,374.04,339.32
FFIV-FOX,2024-07-31,2024-12-30,152,Time Stop Loss,-14395.643566351639,-14526.033565568005,-245.5313297976822,203.64,252.48,-225.7176919279674,35.43,46.08
HCA-LRCX,2024-07-31,2024-12-30,152,Time Stop Loss,2866.4993004079734,2725.7703630732294,-137.72207684891887,363.05,298.42,302.11667799828064,92.124,72.15
ABBV-RJF,2024-11-13,2025-02-20,99,Z-Score Reversion,11053.76399909491,10841.440974052883,304.7394814631423,170.35,200.88,-314.1952657136779,160.64,155.07
ALL-GDDY,2024-12-31,2025-03-03,62,Z-Score Reversion,7061.215424795293,6866.679039702121,274.8346716942159,192.79,202.06,-229.34441149338969,197.37,177.69
ADSK-ALLE,2024-11-22,2025-03-10,108,Z-Score Reversion,9664.994850997933,9508.072075615391,-162.049245317006,321.27,248.4,236.07198846390864,141.38,132.3
AAPL-CARR,2024-12-31,2025-03-17,76,Z-Score Reversion,7427.143109644243,7268.737181473636,-211.58604087504148,250.42,214.0,442.5722206742242,68.26,67.63
